Authors,Article Title,Source Title,DOI,Publication Year,First Author Origin,Senior Author Origin,Sampled Focal Taxa Range,Sequencing Method,Study Focus,Comments
"Gaos, Alexander R.; LaCasella, Erin L.; Kurpita, Lauren; Balazs, George; Hargrove, Stacy; King, Cheryl; Bernard, Hannah; Jones, T. Todd; Dutton, Peter H.",Hawaiian hawksbills: a distinct and isolated nesting colony in the Central North Pacific Ocean revealed by mitochondrial DNA,CONSERVATION GENETICS,10.1007/s10592-020-01287-1,2020,Global North,Global North,Global North,Sanger Sequencing,Population Structure / Gene Flow / Diversity / Demographic History,
"Glasgow, Jamie; De Groot, Jennifer D.; Small, Maureen P.","Genetic composition and conservation status of coastal cutthroat trout (Oncorhynchus clarki clarki) in the San Juan Islands, Washington",CONSERVATION GENETICS,10.1007/s10592-019-01238-5,2020,Global North,Global North,Global North,Microsatellites,Identification / Sexing / Taxonomy / Systematics,
"Godwin, Braden L.; LaCava, Melanie E. F.; Mendelsohn, Beth; Gagne, Roderick B.; Gustafson, Kyle D.; Love Stowell, Sierra M.; Engilis, Andrew, Jr.; Tell, Lisa A.; Ernest, Holly B.","Novel hybrid finds a peri-urban niche: Allen's Hummingbirds in southern California (Aug, 10.1007/s10592-020-01303-4, 2020)",CONSERVATION GENETICS,10.1007/s10592-020-01312-3,2020,Global North,Global North,Global North,Reduced Representation,Population Structure / Gene Flow / Diversity / Demographic History,
"Gonzalez-Robles, Ana; Manzaneda, Antonio J.; Salido, Teresa; Valera, Francisco; Garcia, Cristina; Fernandez-Ocana, Ana M.; Rey, Pedro J.",Spatial genetic structure of a keystone long-lived semiarid shrub: historical effects prevail but do not cancel the impact of recent severe habitat loss on genetic diversity,CONSERVATION GENETICS,10.1007/s10592-020-01291-5,2020,Global North,Global North,Global North,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Gunn, Joe C.; Berkman, Leah K.; Koppelman, Jeff; Taylor, Andrew T.; Brewer, Shannon; Long, James M.; Eggert, Lori S.",Complex patterns of genetic and morphological differentiation in the Smallmouth Bass subspecies (Micropterus dolomieu dolomieu and M. d. velox) of the Central Interior Highlands,CONSERVATION GENETICS,10.1007/s10592-020-01295-1,2020,Global North,Global North,Global North,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Hartvig, Ida; So, Thea; Changtragoon, Suchitra; Hoa Thi Tran; Bouamanivong, Somsanith; Ogden, Rob; Senn, Helen; Vieira, Filipe Garrett; Turner, Frances; Talbot, Richard; Theilade, Ida; Nielsen, Lene Rostgaard; Kjar, Erik Dahl",Conservation genetics of the critically endangered Siamese rosewood (Dalbergia cochinchinensis): recommendations for management and sustainable use,CONSERVATION GENETICS,10.1007/s10592-020-01279-1,2020,Global North,Global North,Global South,Reduced Representation,Population Structure / Gene Flow / Diversity / Demographic History,SNP + SSR array
"Haugen, Hanne; Linlokken, Arne; Ostbye, Kjartan; Heggenes, Jan",Landscape genetics of northern crested newt Triturus cristatus populations in a contrasting natural and human-impacted boreal forest,CONSERVATION GENETICS,10.1007/s10592-020-01266-6,2020,Global North,Global North,Global North,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Hendricks, Sarah; Navarro, Asako Y.; Wang, Thea; Wilder, Aryn; Ryder, Oliver A.; Shier, Debra M.",Patterns of genetic partitioning and gene flow in the endangered San Bernardino kangaroo rat (Dipodomys merriami parvus) and implications for conservation management,CONSERVATION GENETICS,10.1007/s10592-020-01289-z,2020,Global North,Global North,Global North,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,also mtDNA
"Horn, Rebekah L.; Kamphaus, Cory; Murdoch, Keely; Narum, Shawn R.",Detecting genomic variation underlying phenotypic characteristics of reintroduced Coho salmon (Oncorhynchus kisutch),CONSERVATION GENETICS,10.1007/s10592-020-01307-0,2020,Global North,Global North,Global North,WGS,Selection / GWAS / Runs of Homozygosity / Adaptive Potential / Gene Expression,
"Kattawar, Jerry, III; Piller, Kyle R.","Comparative population genetics of the federally endangered Relict Darter, and its sister taxon the Clarks Darter (Teleostei: Percidae)",CONSERVATION GENETICS,10.1007/s10592-020-01300-7,2020,Global North,Global North,Global North,Reduced Representation,Population Structure / Gene Flow / Diversity / Demographic History,
"Kim, Min Jee; Cho, Youngho; Wang, Ah Rha; Kim, Sung-Soo; Choi, Sei-Woong; Kim, Iksoo","Population genetic characterization of the black-veined white, Aporia crataegi (Lepidoptera: Pieridae), using novel microsatellite markers and mitochondrial DNA gene sequences",CONSERVATION GENETICS,10.1007/s10592-020-01257-7,2020,Global North,Global North,Both (Shared Resident),Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,Korea w/ sampling in China + Mongolia
"Kirchman, Jeremy J.; Ross, Angelena M.; Johnson, Glenn",Historical decline of genetic diversity in a range-periphery population of Spruce Grouse (Falcipennis canadensis) inhabiting the Adirondack Mountains,CONSERVATION GENETICS,10.1007/s10592-019-01246-5,2020,Global North,Global North,Global North,Sanger Sequencing,Population Structure / Gene Flow / Diversity / Demographic History,
"Klinga, Peter; Mikolas, Martin; Delegan, Ivan, V; Danila, Gabriel; Urban, Peter; Paule, Ladislav; Kanuch, Peter",Temporal landscape genetic data indicate an ongoing disruption of gene flow in a relict bird species,CONSERVATION GENETICS,10.1007/s10592-020-01253-x,2020,Global North,Global North,Global North,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Kozakiewicz, Christopher P.; Ricci, Lauren; Patton, Austin H.; Stahlke, Amanda R.; Hendricks, Sarah A.; Margres, Mark J.; Ruiz-Aravena, Manuel; Hamilton, David G.; Hamede, Rodrigo; McCallum, Hamish; Jones, Menna E.; Hohenlohe, Paul A.; Storfer, Andrew",Comparative landscape genetics reveals differential effects of environment on host and pathogen genetic structure in Tasmanian devils (Sarcophilus harrisii) and their transmissible tumour,MOLECULAR ECOLOGY,10.1111/mec.15558,2020,Global North,Global North,Global North,Reduced Representation,Population Structure / Gene Flow / Diversity / Demographic History,
"Kyrkjeeide, Magni Olsen; Westergaard, Kristine Bakke; Kleven, Oddmund; Evju, Marianne; Endrestol, Anders; Brandrud, Marie Kristine; Stabbetorp, Odd",Conserving on the edge: genetic variation and structure in northern populations of the endangered plant Dracocephalum ruyschiana L. (Lamiaceae),CONSERVATION GENETICS,10.1007/s10592-020-01281-7,2020,Global North,Global North,Global North,Reduced Representation,Population Structure / Gene Flow / Diversity / Demographic History,small SNP array
"Lachowska-Cierlik, Dorota; Zajac, Krzysztof; Mazur, Milosz A.; Sikora, Arkadiusz; Kubisz, Daniel; Kajtoch, Lukasz","The Origin of Isolated Populations of the Mountain Weevil, Liparus glabrirostris-The Flagship Species for Riparian Habitats",JOURNAL OF HEREDITY,10.1093/jhered/esaa018,2020,Global North,Global North,Global North,Sanger Sequencing,Population Structure / Gene Flow / Diversity / Demographic History,
"Lansink, Gerhardus M. J.; Esparza-Sala, Rodrigo; Joensuu, Maija; Koskela, Anni; Bujnakova, Dominika; Kleven, Oddmund; Flagstad, Oystein; Ollila, Tuomo; Kojola, Ilpo; Aspi, Jouni; Kvist, Laura",Population genetics of the wolverine in Finland: the road to recovery?,CONSERVATION GENETICS,10.1007/s10592-020-01264-8,2020,Global North,Global North,Global North,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Lehmair, Theresa Anna; Pagel, Ellen; Poschlod, Peter; Reisch, Christoph",Genetic variation of litter meadow species reflects gene flow by hay transfer and mowing with agricultural machines,CONSERVATION GENETICS,10.1007/s10592-020-01294-2,2020,Global North,Global North,Global North,Other,Population Structure / Gene Flow / Diversity / Demographic History,AFLPs
"Lehnert, Sarah J.; Kess, Tony; Bentzen, Paul; Clement, Marie; Bradbury, Ian R.",Divergent and linked selection shape patterns of genomic differentiation between European and North American Atlantic salmon (Salmo salar),MOLECULAR ECOLOGY,10.1111/mec.15480,2020,Global North,Global North,Global North,Reduced Representation,Selection / GWAS / Runs of Homozygosity / Adaptive Potential / Gene Expression,
"Li, Jialiang; Milne, Richard, I; Ru, Dafu; Miao, Jibin; Tao, Wenjing; Zhang, Lei; Xu, Jingjing; Liu, Jianquan; Mao, Kangshan","Allopatric divergence and hybridization within Cupressus chengiana (Cupressaceae), a threatened conifer in the northern Hengduan Mountains of western China",MOLECULAR ECOLOGY,10.1111/mec.15407,2020,Global South,Global South,Global South,Reduced Representation,Population Structure / Gene Flow / Diversity / Demographic History,China
"Linscott, T. Mason; Weaver, Kathleen; Morales, Vanessa; Parent, Christine E.",Assessing species number and genetic diversity of the Mountainsnails (Oreohelicidae),CONSERVATION GENETICS,10.1007/s10592-020-01302-5,2020,Global North,Global North,Global North,Sanger Sequencing,Identification / Sexing / Taxonomy / Systematics,
"Mandimbihasina, Angelo R.; Frasier, Cynthia L.; Hagenson, Ryan A.; Robertson, Brittani A. D.; Engberg, Shannon E.; Lewis, Richard E.; Woolaver, Lance G.; Razafimahatratra, Emilienne; Rabetafika, Lydia L.; Louis, Edward E., Jr.",Conservation genetics of Madagascar's critically endangered ploughshare tortoise (Astrochelys yniphora),CONSERVATION GENETICS,10.1007/s10592-019-01236-7,2020,Global South,Both,Global South,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,also mtDNA
"McCall, Brittany L.; Fluker, Brook L.","Spatiotemporal population dynamics of the Caddo Madtom (Noturus taylori), a narrow-range endemic of the Ouachita Highlands",CONSERVATION GENETICS,10.1007/s10592-020-01260-y,2020,Global North,Global North,Global North,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Mendelsohn, Beth; Bedrosian, Bryan; Stowell, Sierra M. Love; Gagne, Roderick B.; LaCava, Melanie E. F.; Godwin, Braden L.; Hull, Joshua M.; Ernest, Holly B.",Population genomic diversity and structure at the discontinuous southern range of the Great Gray Owl in North America,CONSERVATION GENETICS,10.1007/s10592-020-01280-8,2020,Global North,Global North,Global North,Reduced Representation,Population Structure / Gene Flow / Diversity / Demographic History,
"Milano, Elizabeth R.; Mulligan, Margaret R.; Rebman, Jon P.; Vandergast, Amy G.",High-throughput sequencing reveals distinct regional genetic structure among remaining populations of an endangered salt marsh plant in California,CONSERVATION GENETICS,10.1007/s10592-020-01269-3,2020,Global North,Global North,Both (Shared Resident),WGS,Population Structure / Gene Flow / Diversity / Demographic History,
"Millar, Melissa A.; Byrne, Margaret",Variable clonality and genetic structure among disjunct populations of Banksia mimica,CONSERVATION GENETICS,10.1007/s10592-020-01288-0,2020,Global North,Global North,Global North,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Miller, Susan M.; Moeller, Carl-Heinz; Harper, Cindy K.; Bloomer, Paulette",Anthropogenic movement results in hybridisation in impala in southern Africa,CONSERVATION GENETICS,10.1007/s10592-020-01276-4,2020,Global South,Global South,Global South,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,Hybridization
"Mioduchowska, Monika; Katarzyna, Zajac; Tadeusz, Zajac; Jerzy, Sell",Wolbachia and Cardinium infection found in threatened unionid species: a new concern for conservation of freshwater mussels?,CONSERVATION GENETICS,10.1007/s10592-020-01255-9,2020,Global North,Global North,Global North,Reduced Representation,Identification / Sexing / Taxonomy / Systematics,Mix of Sanger and MiSeq
"Morrison, Caitlin E.; Johnson, Rebecca N.; Grueber, Catherine E.; Hogg, Carolyn J.",Genetic impacts of conservation management actions in a critically endangered parrot species,CONSERVATION GENETICS,10.1007/s10592-020-01292-4,2020,Global North,Global North,Global North,Reduced Representation,Population Structure / Gene Flow / Diversity / Demographic History,
"Mueller, Sarah Ashley; Reiners, Tobias Erik; Middelhoff, Tomma Lilli; Anders, Ole; Kasperkiewicz, Anna; Nowak, Carsten",The rise of a large carnivore population in Central Europe: genetic evaluation of lynx reintroduction in the Harz Mountains,CONSERVATION GENETICS,10.1007/s10592-020-01270-w,2020,Global North,Global North,Global North,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Mulvena, Samantha R.; Pierson, Jennifer C.; Farquharson, Katherine A.; McLennan, Elspeth A.; Hogg, Carolyn J.; Grueber, Catherine E.","Investigating inbreeding in a free-ranging, captive population of an Australian marsupial",CONSERVATION GENETICS,10.1007/s10592-020-01278-2,2020,Global North,Global North,Global North,Reduced Representation,Population Structure / Gene Flow / Diversity / Demographic History,
"Neiber, Marco T.; Cianfanelli, Simone; Bartolini, Fabrizio; Glaubrecht, Matthias","Not a marginal loss: genetic diversity of the endangered freshwater snail Melanopsis etrusca (Brot, 1862) from thermal springs in Tuscany, Italy",CONSERVATION GENETICS,10.1007/s10592-019-01241-w,2020,Global North,Global North,Global North,Other,Population Structure / Gene Flow / Diversity / Demographic History,AFLPs + mtDNA
"Ochoa, Alexander; Broe, Michael; Moriarty Lemmon, Emily; Lemmon, Alan R.; Rokyta, Darin R.; Gibbs, H. Lisle","Drift, selection and adaptive variation in small populations of a threatened rattlesnake",MOLECULAR ECOLOGY,10.1111/mec.15517,2020,Global North,Global North,Global North,Reduced Representation,Selection / GWAS / Runs of Homozygosity / Adaptive Potential / Gene Expression,
"Parker, Lillian D.; Hawkins, Melissa T. R.; Camacho-Sanchez, Miguel; Campana, Michael G.; West-Roberts, Jacob A.; Wilbert, Tammy R.; Lim, Haw Chuan; Rockwood, Larry L.; Leonard, Jennifer A.; Maldonado, Jesus E.",Little genetic structure in a Bornean endemic small mammal across a steep ecological gradient,MOLECULAR ECOLOGY,10.1111/mec.15626,2020,Global North,Global North,Global South,Reduced Representation,Population Structure / Gene Flow / Diversity / Demographic History,UCEs plus mitogenomes
"Pasachnik, Stesha A.; Colosimo, Giuliano; Carreras-De Leon, Rosanna; Gerber, Glenn","Genetic structure of Rhinoceros Rock Iguanas, Cyclura cornuta, in the Dominican Republic, with insights into the impact of captive facilities and the taxonomic status of Cyclura on Mona Island",CONSERVATION GENETICS,10.1007/s10592-020-01290-6,2020,Global North,Global North,Global South,Sanger Sequencing,Population Structure / Gene Flow / Diversity / Demographic History,
"Pounder, Kieran C.; Mukhida, F.; Brown, R. P.; Carter, D.; Daltry, J. C.; Fleming, T.; Goetz, M.; Halsey, L. G.; Hughes, G.; Questel, K.; Saccheri, I. J.; Williams, R.; Soanes, L. M.",Testing for hybridisation of the Critically Endangered Iguana delicatissima on Anguilla to inform conservation efforts,CONSERVATION GENETICS,10.1007/s10592-020-01258-6,2020,Global North,Both,Global South,Sanger Sequencing,Population Structure / Gene Flow / Diversity / Demographic History,
"Ranke, Peter S.; Skjelseth, Sigrun; Hagen, Ingerid Julie; Billing, Anna Maria; Pedersen, Asa Alexandra Borg; Parn, Henrik; Ringsby, Thor Harald; Saether, Bernt-Erik; Jensen, Henrik",Multi-generational genetic consequences of reinforcement in a bird metapopulation,CONSERVATION GENETICS,10.1007/s10592-020-01273-7,2020,Global North,Global North,Global North,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,cool experimental migration study
"Sanudi, Thomson; Brink, Daniel; Rhode, Clint; Roodt-Wilding, Rouvay",Population genetics of the Cichlid Oreochromis shiranus in Malawi,CONSERVATION GENETICS,10.1007/s10592-019-01237-6,2020,Global South,Global South,Global South,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Sauther, M.L.; Bertolini, F.; Dollar, L.J.; Pomerantz, J.; Alves, P.C.; Gandolfi, B.; Kurushima, J.D.; Mattucci, F.; Randi, E.; Rothschild, M.F.; Cuozzo, F.P.; Larsen, R.S.; Moresco, A.; Lyons, L.A.; Jacky, I.A. Youssouf",Taxonomic identification of Madagascar's free-ranging 'forest cats'.,CONSERVATION GENETICS,10.1007/s10592-020-01261-x,2020,Global North,Global South,Global South,Other,Identification / Sexing / Taxonomy / Systematics,SSRs
"Schlesselmann, Ann-Kathrin V.; Robertson, Bruce C.",Longevity can mask low Nb if only Ne of mixed-age samples is estimated in threatened and mobile species,CONSERVATION GENETICS,10.1007/s10592-020-01277-3,2020,Global North,Global North,Global North,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Schwartz, Michael K.; Walters, Ashley D.; Pilgrim, Kristine L.; Moriarty, Katie M.; Slauson, Keith M.; Zielinski, William J.; Aubry, Keith B.; Sacks, Benjamin N.; Zarn, Katherine E.; Quinn, Cate B.; Young, Michael K.",Pliocene-Early Pleistocene Geological Events Structure Pacific Martens (Martes caurina),JOURNAL OF HEREDITY,10.1093/jhered/esaa005,2020,Global North,Global North,Global North,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,"also, mitogenomes sequenced using hiseq"
"Song, Kai; Halvarsson, Peter; Fang, Yun; Barnaby, Jonathan; Germogenov, Nickolai; Sun, Yuehua; Hoglund, Jacob",Genetic differentiation in Sichuan jay (Perisoreus internigrans) and its sibling species Siberian jay (P. infaustus),CONSERVATION GENETICS,10.1007/s10592-020-01252-y,2020,Both,Global North,Both (Shared Resident),Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,"two species, one in siberia, the other from china"
"Stervander, Martin; Dierickx, Elisa G.; Thorley, Jack; Brooke, M. de L.; Westerdahl, Helena","High MHC gene copy number maintains diversity despite homozygosity in a Critically Endangered single-island endemic bird, but no evidence of MHC-based mate choice",MOLECULAR ECOLOGY,10.1111/mec.15471,2020,Global North,Global North,Global South,Sanger Sequencing,Selection / GWAS / Runs of Homozygosity / Adaptive Potential / Gene Expression,they used PCR and then sequenced using Illumina
"Stojanova, Bojana; Surinova, Maria; Zeisek, Vojtech; Munzbergova, Zuzana; Pankova, Hana","Low genetic differentiation despite high fragmentation in the endemic serpentinophyte Minuartia smejkalii (M. verna agg., Caryophyllaceae) revealed by RADSeq SNP markers",CONSERVATION GENETICS,10.1007/s10592-019-01239-4,2020,Global North,Global North,Global North,Reduced Representation,Population Structure / Gene Flow / Diversity / Demographic History,
"Takahashi, Tetsumi; Nagano, Atsushi J.; Kawaguchi, Lina; Onikura, Norio; Nakajima, Jun; Miyake, Takuya; Suzuki, Noriyasu; Kanoh, Yoshihiko; Tsuruta, Tetsuya; Tanimoto, Takuya; Yasui, Yukio; Oshima, Noriyuki; Kawamura, Kouichi",A ddRAD-based population genetics and phylogenetics of an endangered freshwater fish from Japan,CONSERVATION GENETICS,10.1007/s10592-020-01275-5,2020,Global North,Global North,Global North,Reduced Representation,Population Structure / Gene Flow / Diversity / Demographic History,includes focus on hybridization
"Thompson, Daniel B.; McKelvey, Kevin; van Els, Paul; Andrew, Gretchen; Jacoby-Garrett, Paula; Glenn, Matt; Kallstrom, Corey; Pilgrim, Kristine L.; Opler, Paul A.","Conserve the eco-evolutionary dynamic, not the subspecies: phenological divergence and gene flow between temporal cohorts of Euphilotes ancilla endemic to southern Nevada",CONSERVATION GENETICS,10.1007/s10592-020-01254-w,2020,Global North,Global North,Global North,Sanger Sequencing,Population Structure / Gene Flow / Diversity / Demographic History,
